gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,,
SMC1A,26,24,46,15,19,136,,,
SUDS3,21,30,19,48,6,136,,,
TACC3,40,15,55,9,18,136,,,
TMSB15A,33,6,26,31,29,136,,,
ACSF2,31,17,40,9,30,135,,,
C14orf93,33,16,30,38,15,135,,,
C5orf42,29,12,22,31,29,135,,,
CDC123,43,8,44,34,10,135,,,
DET1,37,19,59,10,7,135,,,
DPM1,12,84,6,15,17,135,,,
DR1,51,11,32,19,8,135,,,
ELP5,45,13,18,5,38,135,,,
FAM102A,41,21,23,31,8,135,,,
GNE,9,3,102,14,0,135,,,
HSPA8,23,42,20,18,28,135,,,
KAT8,39,17,17,18,34,135,,,
LASP1,20,18,39,5,47,135,,,
LOC100507462,34,17,26,26,26,135,,,
NCBP2-AS2,16,29,55,20,5,135,,,
NUP188,14,17,57,38,3,135,,,
SSU72,43,21,11,51,5,135,,,
TARDBP,31,12,40,31,24,135,,,
TCEAL9,21,42,51,11,5,135,,,
TGS1,43,11,31,17,38,135,,,
TMED1,36,16,34,24,19,135,,,
ZNF526,55,30,17,11,17,135,,,
ANKRD32,41,28,37,16,3,134,,,
APOE,26,23,43,31,5,134,,,
ARL17B,48,34,13,22,8,134,,,
GTF2A2,44,39,15,24,13,134,,,
LOC107987238,33,21,56,11,8,134,,,
NSF,24,41,25,26,16,134,,,
OSBP,25,40,26,29,10,134,,,
PANK2,55,39,34,5,3,134,,,
POLR1A,44,23,23,33,7,134,,,
PPP2R3C,38,3,25,26,48,134,,,
RIC8A,30,22,23,18,35,134,,,
SLC30A1,21,14,73,8,12,134,,,
SMN2,37,20,25,25,12,134,,,
TOMM22,74,16,27,8,11,134,,,
TPD52L2,44,34,16,10,26,134,,,
ZNF223,44,29,30,16,15,134,,,
CDPF1,32,35,53,2,5,133,,,
CLTC,28,9,53,32,9,133,,,
DLST,30,26,9,21,40,133,,,
DOCK3,47,29,34,10,9,133,,,
GFM1,53,30,6,9,26,133,,,
HSF1,22,22,75,12,5,133,,,
LENG9,36,8,34,30,21,133,,,
MARK2,49,32,20,13,16,133,,,
TAF6,44,27,33,18,13,133,,,
TOMM20,102,8,3,16,6,133,,,
USP8,26,19,63,15,3,133,,,
ZNF212,26,20,39,31,8,133,,,
APPL2,47,23,21,15,20,132,,,
ASB16,44,31,26,13,6,132,,,
CCNC,40,21,29,32,13,132,,,
CMAS,6,8,103,5,5,132,,,
DTYMK,33,21,23,50,4,132,,,
EIF3B,31,9,18,43,27,132,,,
FAM49B,32,27,42,14,9,132,,,
IREB2,52,20,18,24,17,132,,,
JAML,20,38,39,5,13,132,,,
MED4,31,15,18,33,29,132,,,
MFI2,33,22,19,19,35,132,,,
MTX2,33,16,54,4,17,132,,,
NARFL,58,18,27,22,12,132,,,
NELFA,54,14,26,6,34,132,,,
PDIA4,43,24,48,5,6,132,,,
TMEM63A,24,25,55,3,20,132,,,
WBP1,38,35,44,7,8,132,,,
CCDC190,28,21,48,12,15,131,,,
CLDND1,32,39,52,5,3,131,,,
DDB1,43,24,17,27,16,131,,,
IL7R,46,42,22,11,4,131,,,
LAMTOR3,43,12,25,16,30,131,,,
MTHFR,55,37,19,5,11,131,,,
MYT1L,32,22,18,38,11,131,,,
NOB1,49,9,28,12,17,131,,,
PABPC1,24,21,48,10,24,131,,,
RING1,31,14,47,14,25,131,,,
RPL9,38,10,46,25,17,131,,,
SCAND1,62,12,37,5,11,131,,,
STK32B,41,35,23,14,8,131,,,
WDR38,34,21,60,9,7,131,,,
WDR59,52,11,28,15,26,131,,,
WDR91,13,2,54,15,40,131,,,
YEATS4,32,17,22,36,12,131,,,
ZNF584,21,44,47,7,8,131,,,
APITD1,31,37,28,13,10,130,,,
AREL1,41,23,37,11,10,130,,,
B4GAT1,18,20,69,8,16,130,,,
BAP1,34,4,25,38,27,130,,,
C9orf9,50,22,21,16,9,130,,,
COG8,14,6,100,3,6,130,,,
COMMD5,21,22,27,28,23,130,,,
DEPDC4,18,22,39,16,28,130,,,
EIF2S3,44,22,21,20,12,130,,,
ENAH,20,14,34,26,36,130,,,
IRG1,30,28,40,14,11,130,,,
LOC730268,15,16,57,25,10,130,,,
MAN1B1,16,10,83,10,5,130,,,
MRM2,48,27,38,10,6,130,,,
NCBP3,21,29,53,8,5,130,,,
NUS1,26,45,16,20,22,130,,,
OLIG3,49,21,27,22,8,130,,,
OR2B6,48,36,35,4,7,130,,,
PHF23,34,22,51,12,7,130,,,
PRSS3,47,26,35,6,13,130,,,
PTPN6,38,22,32,19,13,130,,,
SEC62,40,33,32,5,11,130,,,
SOX11,46,29,39,6,4,130,,,
TMEM94,36,17,32,12,19,130,,,
WDR54,38,35,37,8,4,130,,,
ARID5B,61,19,32,12,2,129,,,
BLVRB,30,16,37,21,23,129,,,
C7orf55-LUC7L2,30,5,27,35,31,129,,,
CNOT11,38,12,40,14,19,129,,,
CNR1,31,34,41,3,16,129,,,
CYP4F11,13,7,41,61,2,129,,,
DCTN6,15,16,56,15,13,129,,,
DHFR,22,12,42,30,15,129,,,
FAM106CP,30,14,43,31,7,129,,,
FAM231A,37,12,38,17,11,129,,,
FAM72A,18,9,63,11,23,129,,,
FBL,34,11,13,35,33,129,,,
IQCJ-SCHIP1,52,27,34,7,2,129,,,
IVD,44,20,26,28,8,129,,,
KRT222,46,35,22,10,8,129,,,
LOC100996741,36,17,15,22,24,129,,,
MID2,42,33,37,7,8,129,,,
PDE1A,25,9,62,22,5,129,,,
PLPP7,26,38,24,10,27,129,,,
PMPCB,30,13,37,40,6,129,,,
PVRL3,26,22,50,13,8,129,,,
SNX33,51,38,23,6,8,129,,,
UBA3,47,15,26,22,6,129,,,
CEP70,57,26,19,7,15,128,,,
DDX47,56,13,15,17,19,128,,,
DOLPP1,41,14,35,18,18,128,,,
EGR1,21,18,29,16,43,128,,,
FAM150A,52,12,16,13,20,128,,,
FGFR1,21,14,33,15,41,128,,,
GNA11,22,26,61,7,8,128,,,
HARS,49,16,25,22,20,128,,,
HPF1,39,18,25,18,18,128,,,
LOC100996365,32,41,26,19,8,128,,,
MEPCE,9,16,50,18,37,128,,,
NFIA,67,23,12,23,3,128,,,
NUDT19,31,20,48,9,17,128,,,
NUDT8,27,28,57,4,7,128,,,
PAXIP1,52,6,29,9,37,128,,,
PEX16,20,6,45,10,44,128,,,
PITRM1,39,17,38,11,19,128,,,
PKN1,23,33,60,7,3,128,,,
POLR2F,46,19,30,13,15,128,,,
RPS19,35,17,22,34,13,128,,,
RRM1,38,14,23,44,6,128,,,
SETD3,31,16,9,29,38,128,,,
SNRNP25,48,18,14,29,16,128,,,
TIAL1,18,18,30,34,25,128,,,
ZNF397,32,28,56,7,6,128,,,
ZNF74,53,30,24,8,10,128,,,
CASP8,50,21,35,16,4,127,,,
CDH13,31,12,25,32,30,127,,,
CEP55,26,13,10,36,37,127,,,
COG7,5,9,98,6,7,127,,,
DPH3,27,17,55,8,20,127,,,
DSCC1,44,11,18,22,30,127,,,
EIF3F,61,11,11,7,30,127,,,
ERP44,26,18,67,6,12,127,,,
INTS7,39,24,38,17,11,127,,,
KDM4B,47,34,23,8,7,127,,,
LOC105378862,26,32,53,6,4,127,,,
MED13,45,34,30,8,8,127,,,
PRC1,37,25,20,27,11,127,,,
RARG,43,17,28,15,20,127,,,
RARS,45,12,38,17,10,127,,,
SLC19A3,19,21,33,26,16,127,,,
SPRN,46,14,30,14,11,127,,,
TMA16,69,11,10,25,15,127,,,
TRAPPC1,14,12,82,14,6,127,,,
VPS33A,52,21,14,21,10,127,,,
ZC3H4,48,22,26,10,18,127,,,
AHDC1,34,44,41,2,3,126,,,
ANKRD13C,28,18,60,6,5,126,,,
ARIH1,30,3,62,12,18,126,,,
ATE1,29,20,50,7,11,126,,,
C1orf86,30,24,22,9,29,126,,,
COPS3,47,15,10,20,32,126,,,
CPSF4,27,26,45,3,24,126,,,
CYC1,52,21,30,9,3,126,,,
DDI2,26,13,44,29,13,126,,,
EIF3I,38,16,17,24,29,126,,,
EIF6,51,16,13,30,8,126,,,
ELMO3,32,31,21,12,21,126,,,
INF2,42,40,24,12,6,126,,,
JAM2,48,26,21,9,19,126,,,
MAGED4,24,31,53,6,9,126,,,
MEF2BNB,29,22,40,15,12,126,,,
METAP1,29,21,27,40,14,126,,,
MRPL14,20,7,37,7,52,126,,,
NFIL3,23,25,62,1,8,126,,,
NMD3,50,6,17,20,25,126,,,
PDLIM4,39,24,20,24,11,126,,,
POLR2L,63,27,10,4,17,126,,,
QRICH1,53,21,21,12,11,126,,,
TMEM102,46,33,35,11,4,126,,,
TMEM265,21,8,29,44,22,126,,,
USO1,21,26,28,8,34,126,,,
ZDHHC4,51,32,15,8,22,126,,,
ATP6V1G1,26,18,40,20,11,125,,,
B4GALT4,35,29,22,19,13,125,,,
C9orf114,38,18,26,30,6,125,,,
CDK1,55,13,24,11,13,125,,,
CENPS,43,18,22,10,21,125,,,
CHD2,40,13,9,30,28,125,,,
EIF2S1,47,9,28,8,26,125,,,
HIST1H2AC,42,19,22,29,7,125,,,
LOC100130357,29,34,11,38,7,125,,,
LOC107984341,52,12,20,22,22,125,,,
NGDN,41,7,42,11,28,125,,,
NSD1,54,14,24,10,18,125,,,
RBM39,42,14,37,13,12,125,,,
SETD1A,50,12,11,29,11,125,,,
SLC2A4,44,18,29,11,21,125,,,
SZRD1,37,14,57,4,3,125,,,
TLE3,12,21,76,12,4,125,,,
TRIM59,45,22,35,6,11,125,,,
UTP23,31,18,30,33,13,125,,,
ZNF449,45,24,29,7,21,125,,,
ZNHIT2,16,9,43,20,24,125,,,
ALG9,20,83,7,3,5,124,,,
AP1M1,46,25,20,15,14,124,,,
APOPT1,18,18,55,6,26,124,,,
BDNF,41,23,28,11,20,124,,,
BEX3,36,16,25,16,20,124,,,
BTF3,23,11,24,16,60,124,,,
C1QBP,22,15,54,10,15,124,,,
C1orf131,51,9,20,12,28,124,,,
C9orf156,49,16,15,25,12,124,,,
CCDC94,35,21,18,13,31,124,,,
CLUL1,25,32,47,9,5,124,,,
CSTF3,39,13,15,32,12,124,,,
EIF3CL,64,4,12,11,28,124,,,
GLYATL1,47,13,35,0,25,124,,,
GPAA1,57,23,16,17,10,124,,,
INTS9,39,7,41,14,21,124,,,
KATNBL1,34,21,37,9,22,124,,,
KCNQ2,20,27,48,13,14,124,,,
LOC107985911,34,14,47,9,10,124,,,
LPPR5,41,24,42,5,7,124,,,
MTPAP,44,21,48,8,2,124,,,
RBBP8NL,22,12,52,25,8,124,,,
RNPS1,27,19,27,27,23,124,,,
RRP9,45,10,15,17,25,124,,,
SSX3,36,19,29,12,24,124,,,
XRCC5,54,20,10,30,15,124,,,
ZNF350,19,52,50,3,1,124,,,
ANGPT2,18,40,53,5,8,123,,,
ANKRD17,12,27,67,10,6,123,,,
C15orf57,49,22,16,16,14,123,,,
DAZAP2,23,26,55,12,7,123,,,
EPC1,16,11,51,25,14,123,,,
FAM151B,54,37,18,12,5,123,,,
GATAD2B,40,18,47,7,13,123,,,
GOLGA8K,15,21,59,21,13,123,,,
HSD3B2,23,15,48,16,9,123,,,
HSPD1,30,13,51,5,21,123,,,
HTD2,28,29,30,23,12,123,,,
MLF2,33,29,33,21,5,123,,,
ORAI1,44,21,23,8,24,123,,,
POLA2,29,10,56,19,5,123,,,
RBM43,26,9,18,39,28,123,,,
RPGR,20,19,56,5,20,123,,,
RPP38,23,20,36,32,6,123,,,
SYVN1,37,15,45,19,8,123,,,
TCEA3,19,7,57,11,22,123,,,
TFDP1,44,20,18,29,20,123,,,
TLL1,52,39,26,4,2,123,,,
UBE2C,24,11,44,27,15,123,,,
ADD3,29,15,40,5,24,122,,,
AEBP1,28,14,37,36,2,122,,,
ATP6V0A1,20,27,40,6,23,122,,,
C1D,23,15,42,8,32,122,,,
CUL3,32,29,40,9,7,122,,,
DCTN3,11,34,66,8,3,122,,,
DDX54,65,8,12,17,16,122,,,
EXOSC7,52,8,18,22,27,122,,,
FAM209A,27,24,47,4,17,122,,,
FZD10,29,12,48,13,19,122,,,
HIST2H2BF,19,9,43,9,35,122,,,
KANSL3,22,17,49,19,10,122,,,
KIAA0753,24,28,56,7,4,122,,,
KRAS,21,14,51,26,7,122,,,
LOC100132202,40,18,25,17,22,122,,,
LOC100996721,25,26,51,7,12,122,,,
LOC101929627,46,16,15,27,7,122,,,
LOC105371242,26,39,48,2,6,122,,,
PTCD3,25,17,15,17,42,122,,,
RSL1D1,60,15,13,7,27,122,,,
SLC35A2,14,9,77,11,8,122,,,
SRF,33,11,42,18,15,122,,,
TMEM194A,17,12,45,10,28,122,,,
TRAF2,30,20,34,18,12,122,,,
UBA52,43,24,21,23,12,122,,,
WDR5,22,11,36,39,9,122,,,
AATF,41,12,15,29,27,121,,,
ALOX12,39,21,37,7,12,121,,,
ANP32C,35,38,30,18,2,121,,,
ARL2,32,30,29,15,16,121,,,
BSN,42,13,37,10,19,121,,,
C14orf159,34,16,35,17,16,121,,,
CDC37,45,16,17,14,19,121,,,
DCTD,39,28,17,30,5,121,,,
DUT,35,9,38,15,16,121,,,
DYRK1A,25,23,13,54,5,121,,,
EPHB3,36,21,40,11,8,121,,,
EPRS,60,23,11,17,10,121,,,
FAM69A,29,24,38,15,12,121,,,
HIST1H2BC,35,7,43,22,10,121,,,
LOC101929959,41,11,31,21,9,121,,,
LPAR1,33,13,43,8,17,121,,,
LUC7L2,24,10,63,21,5,121,,,
PSMC2,30,9,47,7,28,121,,,
RAE1,36,10,14,42,17,121,,,
RER1,24,30,36,8,24,121,,,
RPF2,67,10,6,8,21,121,,,
SELENOK,24,23,41,20,7,121,,,
SSBP1,31,15,52,2,23,121,,,
TEX14,27,23,20,24,21,121,,,
TOR2A,44,15,27,13,15,121,,,
ALG11,41,21,12,7,36,120,,,
ANKRD24,14,21,58,3,21,120,,,
BIN1,28,14,52,12,7,120,,,
CAMK1,13,45,39,6,15,120,,,
CNTD1,40,12,23,9,34,120,,,
DPAGT1,56,19,13,20,16,120,,,
FBXL3,25,20,44,8,20,120,,,
GINS2,56,22,15,13,10,120,,,
HES4,47,19,21,6,24,120,,,
LETM2,50,11,21,20,19,120,,,
LOC101929601,43,15,34,6,11,120,,,
LOC102723722,30,23,55,3,6,120,,,
LOC105370980,64,23,15,14,3,120,,,
LOC112268270,22,19,50,11,17,120,,,
LRRK2,57,25,24,7,6,120,,,
MUC4,19,20,59,4,15,120,,,
P2RX4,23,15,51,7,21,120,,,
RAD52,25,11,38,33,4,120,,,
RSL24D1,41,11,37,21,8,120,,,
SAMD4B,21,27,42,24,5,120,,,
SGSH,34,14,44,2,25,120,,,
SP3,16,24,54,5,21,120,,,
SYNGR1,27,42,42,4,2,120,,,
TMEM165,13,6,75,18,7,120,,,
TPRG1L,14,51,38,6,3,120,,,
ZNF483,51,35,16,15,3,120,,,
ABHD13,30,12,18,44,9,119,,,
CPSF6,46,24,16,14,16,119,,,
DEK,20,21,46,17,9,119,,,
EIF3E,28,8,10,35,29,119,,,
EMP2,41,20,10,15,21,119,,,
EPC2,28,7,43,28,11,119,,,
EPHX4,32,12,45,17,13,119,,,
FAM195A,38,16,18,24,16,119,,,
GRHL2,20,32,52,4,7,119,,,
HDGFL3,28,22,30,16,13,119,,,
KIAA0195,28,23,24,19,8,119,,,
MDH2,22,12,24,14,53,119,,,
NIFK,46,4,8,21,36,119,,,
PODNL1,21,19,27,34,14,119,,,
POTEG,31,32,33,12,4,119,,,
SNF8,28,13,35,37,2,119,,,
UBE3A,20,21,32,31,9,119,,,
ABRA,36,18,30,11,14,118,,,
BGLAP,18,15,28,25,31,118,,,
C11orf86,52,43,12,4,7,118,,,
C19orf53,50,18,12,17,11,118,,,
CCNB3,43,26,23,10,12,118,,,
CENPM,33,17,18,7,39,118,,,
CLASP2,22,34,46,8,9,118,,,
COG6,11,9,91,5,1,118,,,
DDX5,44,15,26,9,24,118,,,
DGAT1,42,26,29,12,13,118,,,
ERI1,33,12,21,36,10,118,,,
ESCO2,39,34,14,11,15,118,,,
FBXO42,29,11,35,23,4,118,,,
GCHFR,35,42,24,12,3,118,,,
GXYLT2,37,31,43,6,4,118,,,
HEATR1,26,17,21,23,34,118,,,
HRAS,38,21,17,32,9,118,,,
LOC101929479,37,14,46,14,12,118,,,
MCPH1,47,20,24,10,12,118,,,
MTA2,13,9,26,16,47,118,,,
ORC6,27,22,37,26,2,118,,,
PAIP1,22,15,32,19,27,118,,,
PCF11,31,14,21,29,19,118,,,
PMP22,25,21,63,3,5,118,,,
PPAP2B,28,27,25,18,12,118,,,
PSMA7,40,4,14,25,25,118,,,
RNPC3,29,16,22,27,7,118,,,
RTL8A,36,25,31,9,10,118,,,
RUVBL1,23,40,20,17,14,118,,,
SNRNP35,28,6,42,21,6,118,,,
STRIP1,26,32,28,12,18,118,,,
SYNGR2,47,41,12,2,11,118,,,
UBAP2L,26,10,25,21,29,118,,,
VPS16,45,13,14,20,19,118,,,
ZNF214,26,30,53,3,8,118,,,
ZNF774,37,29,22,24,4,118,,,
AMICA1,30,18,27,10,27,117,,,
AMT,27,23,51,8,4,117,,,
APOBEC2,55,18,25,6,11,117,,,
C1GALT1,16,16,64,9,3,117,,,
CACNA1G,22,28,32,25,6,117,,,
CCDC188,38,12,26,13,16,117,,,
CIRH1A,38,23,31,15,10,117,,,
COL26A1,25,31,37,7,16,117,,,
COMTD1,24,14,48,20,10,117,,,
DDX51,10,24,47,27,8,117,,,
DUSP9,45,30,36,1,2,117,,,
HIST1H2AL,30,12,38,7,24,117,,,
NDUFS2,23,15,51,12,13,117,,,
NPEPPS,40,19,11,22,27,117,,,
NT5C1B,29,37,22,18,10,117,,,
PLSCR1,26,35,37,14,8,117,,,
POLR2J,35,18,14,7,41,117,,,
POR,25,10,16,40,21,117,,,
RGAG1,37,20,22,12,18,117,,,
RNF114,11,9,20,40,30,117,,,
RNF121,13,21,50,25,3,117,,,
SRP19,29,13,10,42,23,117,,,
TARS,26,21,13,44,13,117,,,
THAP1,47,3,32,17,7,117,,,
TIMM44,30,7,41,9,25,117,,,
UROC1,46,12,19,5,28,117,,,
ABCC3,33,24,37,9,5,116,,,
ARHGAP25,33,29,34,11,7,116,,,
ARHGAP40,13,25,50,6,19,116,,,
ATMIN,33,24,19,20,7,116,,,
BORCS8,15,11,37,33,7,116,,,
BTBD9,20,13,40,13,24,116,,,
C1QTNF9B,9,37,55,2,13,116,,,
C8orf22,35,19,46,9,5,116,,,
CYSRT1,26,13,28,33,14,116,,,
EIF2B4,59,6,26,13,10,116,,,
ERGIC2,21,20,59,3,8,116,,,
ETFB,11,42,45,6,5,116,,,
FAM133B,22,13,27,32,15,116,,,
FAM231BP,28,4,26,30,25,116,,,
HFE2,32,8,38,3,32,116,,,
HMGN5,23,23,49,7,7,116,,,
ITGA9,24,20,35,14,22,116,,,
LINGO1,37,23,26,7,14,116,,,
LOC105378189,31,21,45,4,12,116,,,
LTB4R2,28,51,23,5,10,116,,,
MIOS,43,12,20,17,18,116,,,
MPHOSPH8,51,14,24,6,17,116,,,
MYLIP,72,12,3,6,26,116,,,
POLR1E,30,15,19,34,15,116,,,
QRFP,31,28,32,15,10,116,,,
QTRT2,35,12,30,7,20,116,,,
RRNAD1,17,6,41,8,35,116,,,
S100A14,27,23,36,13,12,116,,,
SENP6,31,26,14,23,12,116,,,
SPDYE3,24,4,23,29,25,116,,,
SRPK2,15,37,52,3,4,116,,,
TMEM205,46,19,17,12,10,116,,,
TOGARAM1,16,32,38,19,5,116,,,
TOMM40,79,11,7,7,9,116,,,
TPX2,27,16,43,14,11,116,,,
TWNK,44,9,19,22,12,116,,,
ZNF444,28,24,31,5,24,116,,,
ZNF470,27,12,38,29,6,116,,,
ADCK3,46,18,18,12,12,115,,,
ADGRD1,12,17,44,21,11,115,,,
AEN,43,28,15,19,9,115,,,
ARGLU1,49,10,35,6,7,115,,,
ARID1A,28,26,40,10,7,115,,,
B4GALNT4,8,31,26,3,44,115,,,
BZRAP1,34,8,20,15,19,115,,,
C7orf61,22,9,24,24,36,115,,,
DNAJC17,44,17,30,18,9,115,,,
DNPEP,46,19,26,13,9,115,,,
FAM83H,42,13,18,15,8,115,,,
FANCG,33,29,23,10,8,115,,,
FGF1,24,29,44,2,12,115,,,
FTSJ3,30,6,13,36,26,115,,,
HAUS5,16,10,33,19,32,115,,,
KMT5A,25,5,40,14,25,115,,,
LOC112268437,28,48,26,3,7,115,,,
MAGEA6,36,20,44,8,4,115,,,
MAPK15,29,20,25,15,24,115,,,
MBD3,40,10,54,6,6,115,,,
MCMDC2,16,24,54,14,5,115,,,
MRPL17,10,7,55,8,33,115,,,
MTAP,24,28,43,6,13,115,,,
NINJ1,24,9,59,14,4,115,,,
NOL8,49,16,5,8,34,115,,,
PLEK2,32,33,31,6,2,115,,,
POTEE,28,12,40,8,23,115,,,
PROCR,36,8,46,9,11,115,,,
REV3L,20,13,32,33,12,115,,,
RPS27,21,5,24,42,14,115,,,
SCRIB,49,14,19,14,10,115,,,
SGK3,35,13,30,14,20,115,,,
TMEM191C,30,16,32,20,13,115,,,
TUBGCP2,31,8,33,21,11,115,,,
YAE1D1,28,19,38,15,10,115,,,
ADAL,10,12,61,7,28,114,,,
ATP1A1,35,6,37,17,7,114,,,
B4GALT1,15,7,86,3,4,114,,,
C16orf59,25,24,27,14,13,114,,,
CTC1,34,28,13,21,12,114,,,
FAM219B,14,20,60,9,8,114,,,
FAM98C,42,14,23,13,17,114,,,
FGFR3,29,29,22,19,6,114,,,
FOXE1,44,29,16,7,20,114,,,
GSDMC,46,14,22,16,7,114,,,
LGALS1,19,24,50,9,5,114,,,
MED14OS,31,23,21,28,8,114,,,
MXI1,24,21,58,4,5,114,,,
MYBL2,30,21,18,24,19,114,,,
MYO18B,8,14,55,12,29,114,,,
NAA35,17,33,38,12,15,114,,,
NMUR1,28,9,46,23,3,114,,,
NUDT1,36,15,44,11,8,114,,,
PPP4C,19,29,23,27,16,114,,,
PUS10,29,34,40,8,2,114,,,
RABGAP1,31,21,53,7,8,114,,,
RBMS1,38,11,26,17,20,114,,,
ROCK1,16,16,41,5,33,114,,,
SKIDA1,25,34,47,4,3,114,,,
TF,45,20,26,14,3,114,,,
TUBA1B,38,14,20,18,20,114,,,
TYMS,27,7,33,30,12,114,,,
ZFP41,32,17,51,5,4,114,,,
ZHX2,23,17,50,8,15,114,,,
ZNF589,19,21,64,7,1,114,,,
AC007431.1,34,19,17,16,13,113,,,
ANKRD49,15,24,34,24,12,113,,,
APITD1-CORT,29,29,29,13,10,113,,,
ARID5A,36,29,29,8,8,113,,,
ARMC10,45,12,11,25,11,113,,,
CA5A,24,46,29,11,5,113,,,
CCP110,19,32,22,35,4,113,,,
CCZ1B,39,22,22,14,7,113,,,
CHMP4B,10,2,61,16,13,113,,,
DDX59,22,10,43,13,20,113,,,
DENND2D,29,10,41,11,11,113,,,
ERO1L,31,13,29,14,13,113,,,
LOC101929950,45,15,14,20,10,113,,,
LOH12CR1,24,10,45,10,14,113,,,
LTBP2,32,17,34,15,9,113,,,
MAP3K13,24,15,55,9,6,113,,,
MCM4,42,26,12,23,9,113,,,
METTL7A,29,9,24,33,8,113,,,
RARA,30,29,28,4,21,113,,,
RBBP5,10,12,33,23,31,113,,,
SDHB,22,14,10,13,56,113,,,
SEM1,32,37,12,23,5,113,,,
SOD3,34,29,26,10,7,113,,,
SRPRB,20,31,47,13,4,113,,,
VPS35,19,12,41,18,19,113,,,
AIM1,39,27,10,24,7,112,,,
ARMCX6,36,29,21,15,8,112,,,
CCBL1,20,17,42,17,13,112,,,
CDK12,32,23,19,18,17,112,,,
CSRP2BP,36,28,18,13,13,112,,,
DCAF1,42,8,18,14,25,112,,,
DMAP1,43,18,15,15,16,112,,,
FAM168B,42,22,34,8,6,112,,,
FGF21,32,13,15,34,13,112,,,
KCNK1,35,43,25,5,2,112,,,
KIFC2,29,21,36,8,5,112,,,
LONP1,43,11,5,7,44,112,,,
LPPR3,36,14,24,18,4,112,,,
MOB4,30,8,37,22,12,112,,,
MRPL18,31,14,22,18,24,112,,,
MS4A7,36,7,28,19,22,112,,,
NAF1,27,11,12,28,27,112,,,
NDUFA11,31,19,30,4,23,112,,,
OSBPL7,31,11,26,18,23,112,,,
PDP2,39,19,14,19,15,112,,,
PLXNB2,25,18,32,4,26,112,,,
PPAPDC3,40,24,17,9,18,112,,,
SLC10A6,20,6,18,36,22,112,,,
SLC1A7,27,22,25,22,7,112,,,
TNPO1,32,10,15,19,41,112,,,
TUBB8P12,30,32,22,12,11,112,,,
XAB2,23,18,29,6,30,112,,,
CATSPERZ,31,28,27,4,6,111,,,
CD53,18,25,50,11,9,111,,,
CDK6,18,40,42,5,3,111,,,
CNNM3,27,11,29,28,11,111,,,
CNTNAP1,18,17,39,10,24,111,,,
CTAG1B,22,51,17,13,8,111,,,
DIS3,38,15,20,26,4,111,,,
DYNLRB1,17,20,23,17,27,111,,,
FBXW11,25,18,49,7,5,111,,,
FOXP4,22,26,24,13,31,111,,,
GATA3,36,18,38,13,3,111,,,
ICT1,37,13,20,18,15,111,,,
LOC100129098,49,8,17,19,8,111,,,
LOC102724250,39,16,19,15,13,111,,,
LOC107986876,56,16,23,5,10,111,,,
LOC112267959,19,16,32,25,17,111,,,
LYPLA2,18,36,48,3,6,111,,,
MBTPS1,45,13,17,12,16,111,,,
MCM5,38,25,25,15,6,111,,,
MELTF,32,28,15,11,16,111,,,
MRPL32,42,15,17,16,17,111,,,
MRPL44,25,8,37,9,33,111,,,
NPIPA8,26,46,18,14,4,111,,,
OCLM,25,19,33,8,15,111,,,
PAFAH2,44,31,18,8,7,111,,,
PTPN22,28,21,36,17,4,111,,,
RBM17,35,3,17,13,35,111,,,
SGCG,51,18,21,16,3,111,,,
SLC1A4,11,27,57,8,4,111,,,
TAB1,45,8,22,14,16,111,,,
WDR55,36,12,12,19,23,111,,,
YAP1,17,18,33,29,15,111,,,
ZRANB2,30,17,19,33,6,111,,,
ZSWIM8,40,30,25,5,6,111,,,
ARHGEF19,11,24,62,3,9,110,,,
ATR,29,10,28,17,25,110,,,
B3GALT5,50,29,19,8,4,110,,,
CRYBG2,28,29,21,15,13,110,,,
CTR9,39,9,4,7,51,110,,,
DNMT1,17,19,46,21,5,110,,,
FBXL14,29,9,64,2,2,110,,,
FYCO1,28,12,51,9,2,110,,,
GPAM,32,23,35,13,0,110,,,
GPR89A,43,43,18,1,6,110,,,
HAND1,21,22,26,17,23,110,,,
LEF1,14,44,39,6,2,110,,,
LOC105369274,42,17,8,24,16,110,,,
MAD2L2,55,12,17,16,7,110,,,
MRAS,39,17,34,8,9,110,,,
PACSIN3,24,31,25,8,21,110,,,
PDIA5,42,32,27,10,5,110,,,
POP1,29,10,17,48,7,110,,,
PPM1D,32,16,13,41,3,110,,,
RGP1,13,4,63,6,17,110,,,
RIDA,17,27,26,13,7,110,,,
TM2D3,30,18,28,8,21,110,,,
TMEM11,30,19,41,4,18,110,,,
TMEM255B,21,17,35,17,10,110,,,
TRAPPC4,18,16,61,8,8,110,,,
WDR5B,43,28,23,5,5,110,,,
WDR61,16,19,20,7,40,110,,,
ZNF638,27,26,45,5,2,110,,,
ZNF689,31,10,18,17,35,110,,,
ABHD14A-ACY1,25,16,51,10,4,109,,,
ADAM8,30,18,23,13,17,109,,,
ADGRF1,23,31,43,5,5,109,,,
ARRB2,36,30,36,5,3,109,,,
ATP2C2,45,26,7,11,7,109,,,
BRCC3,14,33,34,5,18,109,,,
CCRN4L,28,17,23,26,10,109,,,
CD74,18,20,42,15,11,109,,,
CEP97,29,19,22,24,11,109,,,
CHAC2,43,19,25,8,11,109,,,
DPP3,19,6,30,19,29,109,,,
IFI44,30,21,29,10,9,109,,,
