gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum,,
FOXK1,13,17,49,5,1,84,,
GOLGA6L4,16,4,50,11,3,84,,
VPS11,9,11,56,7,1,84,,
MRPS2,13,2,2,7,57,83,,
WDR36,23,6,3,25,24,83,,
MALSU1,9,7,4,5,54,83,,
DDX47,34,5,7,12,23,83,,
RPS5,31,10,9,15,11,83,,
GFER,31,34,9,7,4,83,,
ELAC2,17,5,11,4,42,83,,
IL6ST,42,8,11,20,1,83,,
LONP1,29,17,12,5,19,83,,
DDX10,14,6,12,26,10,83,,
ASH2L,15,11,14,33,12,83,,
NDC1,28,6,15,7,24,83,,
INTS2,27,9,15,20,11,83,,
SNUPN,21,21,15,15,7,83,,
RIC8A,22,10,16,10,20,83,,
XYLT2,6,4,21,43,2,83,,
ATP2B1,8,7,24,8,32,83,,
ABCB10,30,20,24,3,4,83,,
IPO4,17,17,35,5,6,83,,
CCDC122,14,27,40,1,3,83,,
MAK16,13,5,44,6,9,83,,
ZNF185,16,9,44,3,8,83,,
G6PD,13,3,3,16,42,82,,
MTERF4,9,5,5,2,57,82,,
NDUFB9,6,1,7,12,55,82,,
CDC42,26,4,7,7,26,82,,
SUCO,23,6,8,15,24,82,,
SLC7A5,10,2,9,5,53,82,,
KLF16,28,17,9,14,8,82,,
DIP2B,28,23,12,17,3,82,,
ZMYM4,34,11,13,20,2,82,,
KIAA0391,13,9,14,6,41,82,,
KCTD11,20,11,14,13,18,82,,
TEFM,24,17,16,10,14,82,,
SCAPER,28,27,17,4,4,82,,
AP2A2,26,24,23,1,3,82,,
RLF,20,17,25,9,11,82,,
ARF1,12,8,26,19,11,82,,
OLFM2,7,15,28,12,17,82,,
MDFIC2,23,19,28,7,5,82,,
KRT15,16,23,33,2,4,82,,
P2RX2,17,14,33,12,3,82,,
CDK12,13,4,38,16,4,82,,
NT5M,14,21,39,6,3,82,,
CRAMP1,22,18,3,14,20,81,,
ATXN2L,26,2,7,30,10,81,,
GGNBP2,21,2,8,7,37,81,,
MRPL16,12,2,9,9,51,81,,
ADSS,17,10,11,30,9,81,,
LOC102723534,28,20,12,15,5,81,,
NSMCE1,34,13,12,15,3,81,,
DIS3,35,13,13,15,3,81,,
SLC2A1,13,29,14,3,25,81,,
PAN2,7,10,15,5,43,81,,
MAPRE1,27,2,15,10,24,81,,
ARHGAP39,24,10,15,5,16,81,,
PSMA2,27,15,16,8,14,81,,
DNM3,19,34,17,0,7,81,,
WDR5,19,9,18,23,10,81,,
RPSA,10,4,20,21,26,81,,
GTF2E2,8,23,22,15,11,81,,
LOC101929599,13,8,26,3,22,81,,
NUP62,7,21,29,2,10,81,,
EIF4E2,11,10,30,7,16,81,,
MARS2,11,3,2,7,46,80,,
RPS18,21,3,3,20,25,80,,
WDR1,13,8,5,6,38,80,,
MRPL32,18,9,6,28,17,80,,
SAMM50,57,3,6,8,7,80,,
TMEM106C,24,3,7,10,28,80,,
DPF1,18,7,7,31,10,80,,
NDUFB2,6,7,9,7,43,80,,
DHX36,17,1,10,7,41,80,,
FZR1,22,4,10,31,15,80,,
RARS2,18,1,13,8,39,80,,
CRY2,10,5,14,18,31,80,,
DAXX,13,7,15,6,36,80,,
NPIPA1,18,15,15,6,25,80,,
CLNS1A,11,9,15,25,16,80,,
BBC3,20,38,16,4,2,80,,
SMC6,24,11,17,10,13,80,,
EIF4A3,18,10,17,13,13,80,,
CTDSPL2,24,3,18,8,28,80,,
SLC45A3,12,18,18,14,18,80,,
SPSB4,20,30,18,7,6,80,,
CSDE1,22,2,19,14,17,80,,
NBPF15,8,14,20,2,31,80,,
MRPL39,21,7,20,7,23,80,,
STAC3,20,23,21,3,2,80,,
ZNF821,19,26,22,4,6,80,,
ZFP82,23,13,25,13,4,80,,
DHODH,11,6,26,9,28,80,,
GBA2,19,25,28,2,0,80,,
URM1,23,5,29,6,14,80,,
C7orf61,24,12,35,2,4,80,,
SPINT1,14,13,38,11,1,80,,
PSAP,9,14,45,3,10,80,,
RPS17,32,6,1,10,22,79,,
CHKA,12,4,3,8,49,79,,
ZNHIT3,21,11,4,17,23,79,,
MRPS10,14,4,7,0,50,79,,
ZFX,16,5,8,13,22,79,,
POLA1,25,18,8,8,12,79,,
GAL,11,2,10,4,44,79,,
FARS2,11,12,10,16,29,79,,
GGT2,11,12,11,15,30,79,,
ACHE,15,8,12,3,37,79,,
TP53TG3D,14,19,12,28,2,79,,
NODAL,30,15,13,3,15,79,,
PMF1,28,22,14,4,7,79,,
MAPKAP1,23,28,21,2,4,79,,
PSMD4,17,27,22,4,9,79,,
ATR,20,4,23,7,22,79,,
DICER1,15,21,23,6,12,79,,
LOC112268140,18,24,23,6,7,79,,
TXLNA,16,8,23,20,4,79,,
HAP1,15,26,25,4,8,79,,
NOP16,20,6,27,8,15,79,,
RALB,18,19,30,5,6,79,,
KRT40,13,32,30,2,2,79,,
PTPRO,21,18,32,4,3,79,,
FAM171B,14,16,34,11,2,79,,
TTC23L,9,12,39,10,5,79,,
C17orf67,10,20,42,2,5,79,,
UNC50,9,5,54,3,2,79,,
SUCLG1,7,2,2,6,52,78,,
YARS2,13,5,3,4,51,78,,
NFS1,17,16,8,4,26,78,,
TOMM22,57,5,8,5,7,78,,
CABIN1,6,6,10,3,46,78,,
IARS,20,19,11,18,10,78,,
LDB1,22,10,12,15,14,78,,
DHFR,14,16,12,17,12,78,,
LUC7L3,24,10,13,10,11,78,,
COPS8,17,14,14,14,17,78,,
GOLGA8K,30,15,14,13,7,78,,
ARHGAP36,21,14,16,14,5,78,,
POLG,7,5,20,3,34,78,,
LPAR1,21,2,20,2,29,78,,
PLXNA1,21,22,24,3,9,78,,
UPK3BL2,18,14,25,3,16,78,,
PPP1R14B,13,13,27,5,19,78,,
PHLDB3,10,34,27,1,7,78,,
BACH1,24,10,28,3,10,78,,
CYP27C1,18,6,30,10,13,78,,
MIDN,21,16,32,4,5,78,,
ACAD8,15,22,36,2,5,78,,
KIAA2013,7,4,51,5,9,78,,
ARVCF,20,9,4,18,24,77,,
MRPS12,9,2,5,7,53,77,,
NARS2,14,2,6,3,50,77,,
ATP5J,20,2,6,21,27,77,,
SACM1L,22,25,6,11,6,77,,
DBX2,30,5,7,7,15,77,,
LOC101929627,29,11,7,14,13,77,,
LOC112267959,17,10,7,16,13,77,,
TLK2,11,4,8,8,43,77,,
INTS1,24,8,9,20,8,77,,
SLC31A2,24,2,11,11,27,77,,
MRM2,17,4,12,13,31,77,,
DHX33,18,4,12,30,2,77,,
ZCCHC9,8,13,13,18,21,77,,
CDC37,24,10,13,10,10,77,,
XPO6,14,27,15,15,5,77,,
TSC2,13,7,16,2,27,77,,
TAF1A,9,6,17,7,35,77,,
MYBPC3,7,13,17,4,33,77,,
MCRS1,22,7,17,6,19,77,,
RPS4X,13,4,17,27,15,77,,
VMP1,37,9,17,5,7,77,,
ATG16L2,20,23,18,7,6,77,,
ZFR,17,5,19,7,19,77,,
ZNF449,20,19,19,8,12,77,,
CYFIP2,20,21,20,10,2,77,,
RNF222,19,17,21,6,8,77,,
ID3,19,11,25,10,5,77,,
PSMC3IP,12,22,30,4,2,77,,
WDR74,19,3,33,6,10,77,,
DOCK1,14,14,34,1,7,77,,
TNFSF12-TNFSF13,12,3,46,7,8,77,,
ASNA1,7,3,50,7,9,77,,
PTAR1,4,3,65,1,1,77,,
MRPL17,12,1,3,2,55,76,,
SEPHS1,8,2,6,7,51,76,,
NUP54,20,4,8,5,35,76,,
TIMM44,25,4,8,17,19,76,,
DUT,15,15,10,7,22,76,,
SP140L,10,13,11,22,15,76,,
THAP12,9,3,13,4,42,76,,
MMS22L,20,16,13,9,11,76,,
UBE2S,26,6,13,16,10,76,,
MRPS14,8,6,14,5,40,76,,
RPL14,25,10,14,10,8,76,,
LOC101928592,18,18,15,13,8,76,,
SBNO1,3,10,16,3,42,76,,
ATP5J2,13,15,16,5,20,76,,
CMPK2,25,26,16,3,4,76,,
ANAPC4,16,8,17,14,13,76,,
PPP2R1A,16,26,18,10,3,76,,
MRPL54,7,4,20,6,31,76,,
PPP1R32,23,12,20,3,16,76,,
SLC7A6OS,10,19,21,10,11,76,,
PPP1R7,18,2,22,2,30,76,,
DDX59,15,12,23,10,10,76,,
SPSB3,19,15,27,1,9,76,,
CNNM1,14,29,28,3,1,76,,
WDR12,14,15,29,7,6,76,,
EMC7,10,7,30,7,17,76,,
BNIP3,11,25,30,4,7,76,,
PTDSS1,15,8,31,10,10,76,,
LOC107985246,12,25,33,5,2,76,,
LOC400927-CSNK1E,17,9,34,8,3,76,,
ARL4A,12,13,36,7,2,76,,
GPSM1,12,15,36,7,2,76,,
EIF3M,7,11,39,8,8,76,,
ARMC7,24,16,3,16,8,75,,
MRPS18B,12,6,4,7,38,75,,
METTL3,16,12,8,11,27,75,,
TUBB,12,6,8,18,24,75,,
YEATS4,15,16,9,6,32,75,,
LOC107985692,22,9,9,23,5,75,,
LOC105378947,19,5,10,22,10,75,,
PNPT1,21,6,11,7,24,75,,
EDN1,22,21,11,3,8,75,,
USP7,11,9,12,9,32,75,,
MED4,23,10,12,23,8,75,,
CDC26,11,7,13,24,14,75,,
PDHA1,9,7,14,7,39,75,,
NR1H2,25,7,15,16,6,75,,
AATF,32,4,17,11,6,75,,
GNA14,14,8,20,7,20,75,,
SMG1,13,15,21,7,11,75,,
NCKAP5L,25,10,22,9,5,75,,
GOLGA8H,14,10,23,20,3,75,,
NACC1,18,10,24,8,12,75,,
EVA1B,17,31,24,3,2,75,,
ADCY5,16,31,24,2,0,75,,
ATP2A3,13,20,31,7,1,75,,
NDUFC1,8,1,1,8,48,74,,
PDSS2,7,3,4,3,51,74,,
EPCAM,29,24,4,5,2,74,,
XRCC5,22,3,5,7,28,74,,
GUK1,11,4,6,15,27,74,,
HIST2H3A,17,7,7,8,32,74,,
SMARCB1,18,21,7,14,9,74,,
PODNL1,13,10,7,32,4,74,,
ADSL,20,11,8,22,9,74,,
LAP3,15,3,10,7,36,74,,
UVRAG,13,2,11,12,32,74,,
TARBP2,24,11,11,9,17,74,,
SDHA,6,9,12,11,31,74,,
LARP4,33,16,12,5,4,74,,
TAF1C,12,9,12,32,3,74,,
LOC105371933,14,30,16,4,10,74,,
ALDH3B2,23,7,17,2,23,74,,
SRRD,18,7,18,9,22,74,,
LRRC47,20,33,18,1,1,74,,
TPR,15,8,19,4,20,74,,
LOC107986803,23,5,20,1,21,74,,
MEI1,13,15,21,15,6,74,,
HEXIM1,13,5,23,13,12,74,,
ARIH2,15,9,26,14,2,74,,
ZNF93,17,29,26,1,1,74,,
C11orf54,18,21,27,4,3,74,,
ALOX12,23,15,28,2,3,74,,
RHOF,19,20,28,5,3,74,,
ZC3H3,11,4,30,3,24,74,,
TMEM41B,13,7,30,17,5,74,,
URB2,16,4,33,6,8,74,,
CHRNE,16,9,35,8,4,74,,
CHERP,8,7,36,8,11,74,,
DDX54,13,3,37,8,9,74,,
C12orf42,10,15,37,2,7,74,,
TTC4,11,7,38,11,5,74,,
SUPV3L1,19,3,1,6,37,73,,
AKT1S1,21,9,3,16,23,73,,
MRPL47,15,6,4,11,36,73,,
RPS27A,23,4,5,10,21,73,,
CHAF1B,11,10,8,7,36,73,,
ANAPC15,17,5,8,16,24,73,,
PLAT,33,17,8,8,4,73,,
RPP38,25,7,10,7,24,73,,
RB1CC1,19,18,10,2,23,73,,
DDX49,13,19,10,10,23,73,,
VPS37A,29,16,10,7,5,73,,
C7orf50,17,6,12,7,25,73,,
PHF23,18,6,12,8,19,73,,
PDCD11,22,2,12,21,10,73,,
RPL27,18,14,15,0,15,73,,
DLST,8,13,16,4,29,73,,
RPAP1,16,10,18,17,5,73,,
HAS2,21,30,18,2,2,73,,
PARD3,14,11,21,3,24,73,,
ADCY10,13,8,21,9,22,73,,
SAP30BP,12,12,25,3,13,73,,
NPIPA2,17,14,26,3,6,73,,
CFAP45,11,15,27,4,12,73,,
PRODH,5,25,32,0,9,73,,
CDKL1,12,9,35,3,11,73,,
SETDB1,12,15,35,4,3,73,,
TMA16,11,12,36,3,4,73,,
CEP152,9,15,41,7,1,73,,
TVP23C-CDRT4,5,10,45,1,6,73,,
SCO2,19,6,1,9,35,72,,
FGF18,27,20,6,6,10,72,,
MRPL19,16,6,7,3,36,72,,
SPDYE1,23,11,7,3,23,72,,
EIF3K,18,6,8,25,11,72,,
MAD2L2,18,8,9,21,8,72,,
GNB2L1,17,5,10,3,33,72,,
LOC100130370,18,15,10,7,15,72,,
MRPL11,7,2,11,7,43,72,,
AIP,12,5,11,4,36,72,,
SMC2,19,6,11,12,17,72,,
UTP18,7,6,13,14,22,72,,
SNRNP25,24,16,13,10,9,72,,
RAPH1,13,4,14,21,12,72,,
PPIE,25,17,14,10,4,72,,
DOCK7,9,18,16,5,23,72,,
TPPP,11,9,17,5,20,72,,
LOC105376525,18,8,17,12,11,72,,
IER2,26,11,17,6,5,72,,
NELFA,22,9,18,5,9,72,,
PPP1R11,15,1,20,4,29,72,,
ELP2,12,4,20,9,28,72,,
LOC100996717,9,23,22,6,9,72,,
TGFB3,8,33,22,3,3,72,,
GAL3ST1,29,12,22,3,0,72,,
GAPDH,24,3,23,3,10,72,,
TRIM46,15,13,23,7,10,72,,
PSMG2,6,28,23,2,8,72,,
IPO7,21,9,25,2,7,72,,
LZTS1,14,24,25,3,2,72,,
EBNA1BP2,13,16,26,3,4,72,,
TMEM216,15,13,29,7,4,72,,
SKP2,14,16,30,3,9,72,,
ISG20L2,10,17,31,4,10,72,,
VPS72,16,6,32,11,6,72,,
INHBB,19,13,33,3,2,72,,
LOC100130451,9,13,36,5,5,72,,
DCTN6,12,2,37,11,6,72,,
LYST,3,16,38,11,0,72,,
EFTUD2,11,11,39,2,2,72,,
MYO1C,11,12,44,3,1,72,,
VPS37D,17,1,2,7,41,71,,
LIN37,10,0,2,32,18,71,,
TIMM17A,13,3,3,2,48,71,,
PHKG1,6,7,4,17,23,71,,
MRPL51,16,2,6,7,40,71,,
TAGLN2,22,26,6,3,10,71,,
MRPL20,7,6,8,1,47,71,,
RAD52,21,22,9,16,1,71,,
COX5A,11,11,10,17,17,71,,
FKTN,17,9,11,14,16,71,,
RASSF5,5,18,12,7,27,71,,
RPAP3,23,13,13,9,12,71,,
CLDN6,33,9,14,3,7,71,,
GNA12,17,18,17,6,11,71,,
RPP25,23,13,17,7,8,71,,
POLR2I,19,17,19,12,1,71,,
GART,8,3,26,19,8,71,,
GTF2H4,13,12,26,20,1,71,,
SMARCD1,22,14,29,3,5,71,,
CHORDC1,10,23,31,3,4,71,,
SNX13,10,6,32,11,9,71,,
SENP7,4,21,35,3,2,71,,
HEATR5A,17,13,35,8,0,71,,
MRPS34,5,3,1,2,51,70,,
CLPX,11,11,4,12,28,70,,
MPI,9,49,4,9,2,70,,
PTPRJ,17,5,5,2,38,70,,
SLC38A1,18,7,5,8,32,70,,
BET1,25,16,5,2,17,70,,
SEC61B,24,11,5,9,15,70,,
EXOSC6,23,7,5,20,9,70,,
INTS5,18,9,6,9,20,70,,
TFRC,22,23,7,11,6,70,,
MRPL44,7,2,8,4,45,70,,
STUB1,8,5,8,11,35,70,,
PSMA4,16,12,8,16,14,70,,
U2AF1,24,8,8,16,6,70,,
DGCR8,16,11,8,30,4,70,,
LYRM4,27,5,9,11,12,70,,
FAM86B1,29,11,9,14,1,70,,
HNRNPH1,31,13,10,10,2,70,,
OSGEP,24,2,12,2,25,70,,
HK2,16,3,12,15,16,70,,
WDYHV1,19,12,13,6,16,70,,
RNASEH2A,8,10,14,10,24,70,,
ST14,22,18,16,6,3,70,,
AGAP1,15,31,19,2,2,70,,
AHCTF1,12,18,20,9,8,70,,
DYRK1B,13,30,21,3,3,70,,
SPDEF,9,8,22,3,24,70,,
FSCN1,13,2,22,4,23,70,,
PDF,25,7,23,5,9,70,,
RPS15A,23,7,23,7,6,70,,
RABGGTA,21,4,24,2,15,70,,
SLC4A5,20,13,24,5,5,70,,
NDUFA4L2,19,17,25,1,8,70,,
HIST1H2AJ,11,2,26,9,21,70,,
JMJD4,10,27,27,4,2,70,,
SCGB2B2,11,20,29,2,3,70,,
TOPORS,5,26,33,1,5,70,,
IPPK,20,8,33,8,2,70,,
VAPB,18,3,36,4,9,70,,
GALE,2,7,55,2,2,70,,
EARS2,13,7,2,3,38,69,,
MRPL12,14,5,2,3,34,69,,
AXIN1,15,8,3,16,24,69,,
SVOP,27,18,4,5,6,69,,
MRPS25,12,6,5,1,41,69,,
ATP5H,12,10,5,8,33,69,,
C7orf26,32,9,5,14,5,69,,
ATG4D,23,12,8,5,16,69,,
LOC101929950,38,14,8,10,2,69,,
AHRR,19,19,9,3,21,69,,
NCBP2,15,18,9,8,15,69,,
ARF3,20,5,9,20,3,69,,
FADD,15,3,10,9,29,69,,
CHTF8,24,14,10,11,7,69,,
TNFRSF10A,32,10,10,10,6,69,,
HIST1H2BN,25,8,11,5,11,69,,
NUBP2,18,9,11,24,6,69,,
CD63,20,22,11,11,3,69,,
RGPD1,10,2,12,23,19,69,,
RNF122,22,9,12,4,16,69,,
GPR135,24,5,12,8,16,69,,
MAU2,16,11,12,16,14,69,,
POLR3K,35,3,13,7,2,69,,
SMARCA4,7,6,14,24,16,69,,
IREB2,25,12,14,14,5,69,,
UTP3,20,8,14,12,3,69,,
RRN3,10,21,18,11,7,69,,
UBA1,19,7,18,18,5,69,,
CLTC,16,5,19,17,10,69,,
C20orf194,29,11,19,6,7,69,,
RPS28,10,4,21,11,14,69,,
GOLT1A,14,22,21,3,6,69,,
SRF,11,4,22,4,21,69,,
DNPH1,15,21,23,3,7,69,,
SLC6A19,20,15,23,7,5,69,,
CCZ1B,19,8,24,5,10,69,,
RSPH3,15,14,24,1,8,69,,
PCDHB11,8,7,26,2,18,69,,
CDIPT,13,6,26,4,15,69,,
DBF4B,19,10,30,3,4,69,,
PIH1D1,18,7,32,8,3,69,,
ZFHX3,7,6,33,9,13,69,,
SPATA5,14,13,36,4,2,69,,
LSM10,19,10,1,28,6,68,,
RPUSD4,11,3,2,0,49,68,,
REXO2,13,2,2,1,46,68,,
NUDT21,19,33,5,6,5,68,,
G3BP2,20,2,6,18,16,68,,
TUBA1B,9,2,7,15,24,68,,
NUP85,13,10,7,14,16,68,,
MOCS1,12,7,7,16,13,68,,
EXOSC2,15,16,7,10,11,68,,
MCM4,31,11,7,11,6,68,,
DDX46,24,5,8,8,15,68,,
AARS,26,12,9,9,10,68,,
C5orf24,31,25,9,2,1,68,,
GTF3C1,11,9,10,6,28,68,,
CACTIN,19,28,10,4,6,68,,
CDK2,25,10,10,12,5,68,,
COPS3,24,2,11,6,22,68,,
SKIV2L2,17,11,11,9,14,68,,
EIF6,22,9,12,8,11,68,,
TRIM33,9,3,14,8,31,68,,
NCEH1,22,29,14,2,1,68,,
CISD3,19,16,14,17,0,68,,
TMEM161A,18,26,16,6,1,68,,
ASS1,19,18,17,2,10,68,,
TAF4,11,5,19,4,21,68,,
ARHGAP26,14,9,19,14,8,68,,
DMRT1,22,21,19,3,1,68,,
HACD1,15,3,20,11,13,68,,
IMP3,11,6,21,5,21,68,,
LAMC1,9,5,22,4,20,68,,
ZSWIM8,21,15,22,6,2,68,,
LAMTOR5,16,11,23,10,5,68,,
TGM2,18,12,24,2,7,68,,
LOC102724957,9,25,24,7,2,68,,
KCNN1,13,26,24,4,1,68,,
SLC25A51,17,7,24,8,1,68,,
EXOC4,17,5,25,5,4,68,,
NLRC4,4,3,27,12,22,68,,
CCDC66,18,18,27,3,3,68,,
C5orf22,15,2,29,3,14,68,,
DFFB,6,16,32,3,8,68,,
SPRED1,13,14,35,2,3,68,,
PGM3,14,7,38,6,1,68,,
CTSD,13,3,49,1,2,68,,
MRPL48,13,7,4,5,37,67,,
ZBTB7B,19,4,4,2,34,67,,
LETM1,35,5,5,7,12,67,,
CCNB1,17,29,5,9,3,67,,
COA7,25,8,6,14,8,67,,
CUL5,33,15,6,3,2,67,,
CNOT2,11,5,7,3,39,67,,
QARS,17,4,7,15,19,67,,
FBXO11,12,6,8,4,36,67,,
DDX28,7,3,9,8,37,67,,
NACA,18,6,9,5,24,67,,
TNS3,27,6,9,2,15,67,,
GNG10,18,17,11,0,17,67,,
TPX2,20,18,11,7,6,67,,
METTL12,16,20,11,9,4,67,,
AKIRIN2,26,7,11,22,1,67,,
VAMP3,14,21,12,4,11,67,,
CCT7,15,19,12,11,7,67,,
PRODH2,10,5,13,6,23,67,,
MRPL10,18,11,13,5,16,67,,
LOC112268168,11,16,13,11,13,67,,
ATG101,23,21,13,5,2,67,,
LOC107987388,9,11,14,9,20,67,,
ACTR6,24,19,14,9,4,67,,
PPP2R5C,15,1,15,12,19,67,,
WDR24,24,9,15,6,2,67,,
POTEF,15,18,15,10,2,67,,
SMARCA1,11,8,16,17,10,67,,
HOXD13,13,22,16,5,8,67,,
RAD21,18,6,18,11,10,67,,
SIN3B,16,18,18,9,4,67,,
GNL3,14,5,19,2,20,67,,
CAST,6,5,20,5,32,67,,
SERPINB1,13,5,21,4,17,67,,
TMEM205,14,16,21,5,3,67,,
VAC14,10,5,23,12,11,67,,
L3MBTL1,16,9,23,6,8,67,,
GOLGA6A,11,7,23,13,8,67,,
APOA1,18,15,23,1,6,67,,
CTNNBIP1,8,28,23,3,5,67,,
ACTN2,10,20,23,1,4,67,,
CKS1B,12,4,25,9,13,67,,
ARMCX3,11,3,26,1,22,67,,
UQCRC2,14,7,27,7,8,67,,
WDR60,14,7,28,5,8,67,,
CCDC115,14,4,29,5,13,67,,
BLM,24,8,29,5,3,67,,
TNK1,13,5,30,10,4,67,,
INO80D,14,10,35,4,3,67,,
TWIST2,8,13,36,3,3,67,,
KIAA0753,8,9,41,1,3,67,,
LARS2,7,4,2,6,44,66,,
SEC16A,12,11,3,5,32,66,,
NDUFB10,7,4,4,2,43,66,,
MFN2,32,17,4,6,4,66,,
MTCH1,20,4,5,4,31,66,,
LASP1,16,1,6,8,32,66,,
RRP15,16,12,7,13,13,66,,
CDK9,27,15,7,5,9,66,,
FBXO42,17,0,8,12,24,66,,
ANKRD9,31,7,8,9,6,66,,
POLR3A,16,4,8,20,4,66,,
SSSCA1,9,7,9,3,36,66,,
GPS1,16,3,9,4,27,66,,
STAT3,17,10,9,9,19,66,,
POLD3,31,7,9,13,7,66,,
UPP1,7,12,9,23,5,66,,
KLHL36,28,13,9,5,4,66,,
PI4KA,20,6,10,4,26,66,,
POLR3B,24,3,10,4,24,66,,
LSM2,22,17,10,3,12,66,,
CPSF2,20,5,11,10,14,66,,
NR4A2,32,9,11,6,9,66,,
MAGEC1,27,15,11,6,3,66,,
LYPD6B,11,6,12,28,2,66,,
EIF2B2,24,9,13,9,13,66,,
RTEL1,12,17,13,13,7,66,,
CSK,21,6,13,4,4,66,,
TONSL,13,6,14,19,8,66,,
SYT13,10,6,15,1,32,66,,
NDUFAF4,19,11,15,4,9,66,,
TOPBP1,13,20,15,6,6,66,,
SNRPG,9,23,15,8,3,66,,
RPS14,17,15,17,5,3,66,,
NPAT,22,10,18,2,6,66,,
PELO,18,4,19,5,10,66,,
MLYCD,18,11,20,2,9,66,,
TMEM192,14,3,20,21,3,66,,
LOC107985911,16,11,21,13,1,66,,
VPS4A,15,2,22,6,15,66,,
SNX27,8,8,24,9,8,66,,
IQCE,6,23,27,1,8,66,,
NTRK2,18,16,27,0,1,66,,
SDCCAG3,17,7,28,2,8,66,,
GNL2,11,4,29,7,9,66,,
SMURF2,14,11,30,0,9,66,,
LOC107987377,17,8,30,7,5,66,,
TYSND1,10,13,32,0,6,66,,
GATA5,15,8,33,4,1,66,,
C1orf109,12,4,34,10,8,66,,
RHOA,16,13,35,4,0,66,,
GON4L,6,10,36,7,4,66,,
SLC16A11,17,1,37,7,0,66,,
QSOX2,9,3,39,3,8,66,,
NAPG,8,8,40,3,4,66,,
RASD1,4,4,47,8,2,66,,
COG7,6,1,54,1,3,66,,
FASTKD5,9,3,2,3,44,65,,
CCDC88B,22,13,2,5,18,65,,
MRPS7,9,5,3,2,46,65,,
MRPL53,9,0,3,3,45,65,,
RCC1L,12,1,3,3,45,65,,
ABCE1,26,5,3,13,15,65,,
MRPL4,11,4,4,1,41,65,,
PPP1R12A,14,6,4,14,24,65,,
LOC107986352,25,10,4,2,20,65,,
KDELR2,28,2,4,10,20,65,,
TRAPPC11,18,15,4,7,18,65,,
CWC22,21,11,4,11,11,65,,
TCF3,22,17,4,7,10,65,,
AFF1,29,8,4,6,9,65,,
UPF2,9,1,5,8,35,65,,
NCBP1,20,5,5,5,19,65,,
TRIAP1,29,6,5,11,9,65,,
OPA1,38,3,5,5,7,65,,
NACA2,15,18,5,20,4,65,,
MRPL21,13,6,6,1,37,65,,
CLTB,13,3,6,28,11,65,,
PRMT1,12,12,7,20,5,65,,
GTF2H2,12,8,7,33,4,65,,
SIPA1,13,3,8,0,42,65,,
CARD10,14,6,8,9,24,65,,
FBRSL1,18,12,8,7,16,65,,
SYT2,17,10,8,11,15,65,,
NCBP3,21,6,8,18,11,65,,
RPS19BP1,17,17,8,11,3,65,,
SUPT16H,13,4,9,15,20,65,,
SEM1,13,5,10,6,24,65,,
CD8B,21,4,10,8,16,65,,
SAMD11,20,3,10,12,14,65,,
NCK1,27,5,10,3,13,65,,
PCBP2,14,8,10,9,11,65,,
XRN2,24,3,11,23,2,65,,
PAXBP1,16,14,12,5,12,65,,
PAGR1,14,8,12,15,10,65,,
RABGGTB,6,4,13,9,31,65,,
ZP3,25,11,13,3,14,65,,
SEMA3C,18,18,13,3,8,65,,
CWC27,15,21,13,9,5,65,,
DYNLRB1,14,5,15,12,13,65,,
RAPGEF3,17,13,15,11,3,65,,
UBE3A,21,13,16,6,6,65,,
NUP155,21,4,18,10,16,65,,
ABHD13,11,15,20,6,7,65,,
KXD1,14,24,20,5,1,65,,
LOC105372798,9,25,21,4,4,65,,
LOC107984590,13,16,21,10,1,65,,
POLR2F,14,6,23,5,13,65,,
PDS5A,25,8,28,1,1,65,,
ANKRD36B,12,10,31,4,7,65,,
POLR1E,9,9,35,8,2,65,,
GOSR1,5,10,44,0,2,65,,
PROCA1,15,11,2,8,15,64,,
MRPL3,16,0,3,3,39,64,,
ATP5F1,12,4,3,12,30,64,,
KLC3,18,2,3,8,28,64,,
MRPL41,16,10,3,5,26,64,,
SRFBP1,14,10,3,7,25,64,,
KCNE3,18,10,3,19,11,64,,
MRPL9,11,2,4,3,36,64,,
GOLGA2,15,4,4,8,29,64,,
TNFSF10,17,14,4,10,18,64,,
SPDYE18,10,6,5,6,32,64,,
EMG1,15,6,5,5,22,64,,
LOC101060179,27,8,5,4,15,64,,
EXT1,25,15,5,13,2,64,,
DHX15,20,17,6,8,5,64,,
NF2,13,0,7,1,39,64,,
COX6C,20,8,7,7,18,64,,
BRF1,10,9,7,14,14,64,,
REST,33,5,7,3,9,64,,
CNOT10,18,5,8,4,25,64,,
TEX35,13,6,8,11,21,64,,
ORC6,17,17,8,9,7,64,,
MTMR9,25,17,8,2,6,64,,
TSC22D2,30,15,8,7,4,64,,
NACC2,10,5,9,2,35,64,,
BNIPL,11,4,9,3,35,64,,
SMPD3,10,3,9,9,25,64,,
RASL12,12,12,10,18,7,64,,
CCNL1,26,12,11,3,11,64,,
CDK7,18,13,11,10,7,64,,
SPECC1L,10,2,12,14,22,64,,
RPA3,11,8,12,16,9,64,,
TOP2A,24,7,12,10,3,64,,
TCEAL8,27,21,12,6,2,64,,
DENND3,21,11,13,9,10,64,,
PSMB7,7,11,15,16,10,64,,
DVL2,19,11,15,2,9,64,,
ACACA,14,18,15,5,5,64,,
WNK1,9,29,16,9,3,64,,
ZCCHC17,21,23,17,2,1,64,,
LYG1,18,9,18,3,9,64,,
MSLN,13,28,18,0,5,64,,
