Gene,Mito,ConA,WGA,DAPI,Phalloidin,Sum
PRPF8,22.0,10.0,51.0,46.0,66.0,195.0
PRR13,33.0,17.0,75.0,27.0,21.0,172.0
PRR15L,22.0,11.0,18.0,104.0,26.0,209.0
PSMA1,38.0,24.0,76.0,21.0,33.0,194.0
PSMB2,27.0,15.0,31.0,28.0,52.0,165.0
PSMB5,22.0,12.0,62.0,37.0,33.0,176.0
PSMB7,45.0,16.0,61.0,38.0,45.0,203.0
PSMC3,26.0,11.0,46.0,32.0,51.0,167.0
PSMC6,54.0,16.0,21.0,38.0,79.0,212.0
PSMD12,31.0,18.0,33.0,81.0,49.0,209.0
PSMD2,18.0,9.0,13.0,18.0,92.0,166.0
PTGS2,20.0,11.0,29.0,37.0,62.0,164.0
PTHLH,29.0,39.0,29.0,21.0,17.0,137.0
PTPN3,14.0,8.0,15.0,34.0,53.0,135.0
PTPRH,59.0,43.0,29.0,17.0,24.0,180.0
PTPRJ,23.0,16.0,64.0,28.0,25.0,162.0
PTPRR,58.0,42.0,28.0,38.0,34.0,200.0
QARS,17.0,11.0,57.0,38.0,49.0,174.0
RAB2A,17.0,17.0,88.0,16.0,23.0,163.0
RAB3D,23.0,12.0,33.0,21.0,85.0,177.0
RANGAP1,36.0,14.0,72.0,26.0,32.0,175.0
RAP1A,38.0,47.0,30.0,24.0,21.0,157.0
RAP1GAP2,60.0,40.0,52.0,23.0,17.0,190.0
RASIP1,22.0,16.0,67.0,40.0,23.0,171.0
RASL12,37.0,25.0,59.0,35.0,16.0,174.0
RASSF4,18.0,12.0,31.0,40.0,62.0,169.0
RBBP8,22.0,15.0,43.0,94.0,29.0,217.0
RBPJ,58.0,21.0,23.0,37.0,20.0,158.0
RCC2,52.0,14.0,48.0,49.0,22.0,184.0
RCN1,26.0,25.0,29.0,85.0,18.0,195.0
RGPD8,57.0,25.0,35.0,61.0,19.0,201.0
RIC8B,28.0,21.0,21.0,23.0,65.0,155.0
RIF1,29.0,27.0,43.0,93.0,18.0,215.0
RIMS1,18.0,11.0,26.0,15.0,78.0,149.0
RIOK3,54.0,20.0,19.0,12.0,14.0,127.0
RIOX2,22.0,26.0,75.0,26.0,21.0,178.0
RNF217,12.0,8.0,17.0,18.0,69.0,132.0
RNF222,26.0,13.0,19.0,81.0,19.0,167.0
RNF24,16.0,11.0,14.0,87.0,10.0,148.0
RNPS1,27.0,25.0,45.0,81.0,28.0,207.0
ROCK2,13.0,10.0,17.0,30.0,77.0,159.0
ROMO1,24.0,14.0,89.0,40.0,32.0,199.0
RPAP1,30.0,43.0,45.0,25.0,22.0,174.0
RPL15,31.0,13.0,37.0,82.0,41.0,211.0
RPL24,40.0,51.0,20.0,26.0,24.0,163.0
RPL32,24.0,18.0,25.0,86.0,21.0,180.0
RPL35A,30.0,14.0,72.0,40.0,41.0,200.0
RPL36A-HNRNPH2,51.0,57.0,20.0,28.0,28.0,184.0
RPL37A,40.0,43.0,39.0,63.0,20.0,208.0
RPN1,19.0,18.0,35.0,18.0,61.0,156.0
RPP14,46.0,56.0,25.0,64.0,20.0,214.0
RPS11,23.0,13.0,64.0,37.0,23.0,156.0
RPS13,29.0,17.0,58.0,36.0,37.0,185.0
RPS15,29.0,12.0,34.0,34.0,50.0,162.0
RPS16,31.0,14.0,30.0,27.0,52.0,161.0
RPS19BP1,60.0,44.0,21.0,43.0,29.0,195.0
RPS26,50.0,29.0,33.0,42.0,32.0,186.0
RPTOR,58.0,15.0,27.0,51.0,15.0,181.0
RSL24D1,27.0,16.0,59.0,33.0,29.0,164.0
RSPH1,22.0,12.0,35.0,32.0,49.0,158.0
RUFY2,52.0,31.0,17.0,32.0,27.0,171.0
RUVBL1,24.0,16.0,18.0,35.0,50.0,150.0
SAMM50,66.0,31.0,28.0,19.0,30.0,172.0
SART3,22.0,16.0,29.0,101.0,18.0,188.0
SBNO1,26.0,15.0,28.0,20.0,68.0,155.0
SCAF1,39.0,12.0,59.0,23.0,25.0,157.0
SCTR,37.0,44.0,36.0,39.0,37.0,177.0
SDR42E1,14.0,10.0,68.0,37.0,32.0,160.0
SEC61A1,20.0,11.0,13.0,38.0,49.0,139.0
SEC61B,26.0,14.0,47.0,52.0,73.0,213.0
SETBP1,52.0,22.0,18.0,38.0,21.0,157.0
SETD3,19.0,16.0,28.0,52.0,86.0,209.0
SF1,52.0,26.0,37.0,31.0,22.0,173.0
SF3B4,49.0,18.0,47.0,36.0,68.0,211.0
SFXN1,54.0,43.0,44.0,18.0,20.0,180.0
SGCG,24.0,16.0,24.0,101.0,20.0,195.0
SGF29,21.0,13.0,17.0,86.0,26.0,180.0
SH3GL3,41.0,24.0,31.0,79.0,24.0,212.0
SHKBP1,28.0,12.0,65.0,38.0,23.0,161.0
SIPA1L3,27.0,17.0,77.0,53.0,29.0,207.0
SIRT3,24.0,18.0,36.0,25.0,76.0,179.0
SKAP1,65.0,44.0,24.0,28.0,19.0,186.0
SKP2,27.0,19.0,44.0,97.0,29.0,216.0
SLC19A3,50.0,23.0,22.0,48.0,16.0,161.0
SLC22A13,47.0,53.0,58.0,18.0,12.0,184.0
SLC25A21,14.0,8.0,21.0,20.0,51.0,124.0
SLC25A25,38.0,14.0,105.0,22.0,21.0,195.0
SLC33A1,49.0,39.0,25.0,24.0,17.0,166.0
SLC35A1,16.0,12.0,147.0,14.0,15.0,191.0
SLC35A2,17.0,9.0,99.0,28.0,18.0,169.0
SLC39A11,14.0,11.0,34.0,17.0,58.0,137.0
SLTM,19.0,11.0,61.0,17.0,39.0,153.0
SLX1A,29.0,19.0,20.0,89.0,16.0,179.0
SLX4IP,28.0,24.0,45.0,25.0,53.0,184.0
SMG5,50.0,32.0,22.0,70.0,12.0,194.0
SMN1,22.0,10.0,38.0,20.0,84.0,185.0
SMNDC1,29.0,27.0,47.0,57.0,54.0,217.0
SMYD4,40.0,24.0,21.0,45.0,53.0,190.0
SNRNP70,17.0,13.0,23.0,42.0,52.0,146.0
SNRPD2,16.0,15.0,34.0,37.0,53.0,156.0
SNX15,38.0,44.0,32.0,27.0,17.0,164.0
SPAG6,51.0,53.0,29.0,34.0,15.0,179.0
SPAG9,20.0,27.0,86.0,21.0,30.0,185.0
SPATA5,27.0,13.0,26.0,92.0,20.0,189.0
SPDYE2,19.0,9.0,21.0,30.0,67.0,152.0
SPECC1L,53.0,60.0,27.0,65.0,13.0,211.0
SPIN4,26.0,28.0,62.0,18.0,14.0,155.0
SPOCD1,18.0,19.0,18.0,80.0,15.0,158.0
SPOP,21.0,17.0,25.0,84.0,21.0,177.0
SPRED3,21.0,12.0,37.0,16.0,68.0,159.0
SPX,22.0,12.0,59.0,33.0,31.0,160.0
SRF,27.0,13.0,62.0,28.0,28.0,164.0
SRP54,29.0,19.0,20.0,32.0,66.0,166.0
SRRD,18.0,10.0,14.0,16.0,71.0,136.0
SRSF4,12.0,12.0,15.0,20.0,54.0,122.0
SRSF7,45.0,38.0,40.0,32.0,22.0,187.0
ST3GAL4,20.0,19.0,143.0,13.0,14.0,195.0
ST3GAL5,23.0,13.0,27.0,81.0,18.0,166.0
STAT5A,41.0,23.0,32.0,83.0,16.0,213.0
STAT5B,58.0,19.0,34.0,65.0,19.0,202.0
STT3A,25.0,12.0,71.0,25.0,20.0,169.0
STT3B,27.0,30.0,58.0,19.0,10.0,148.0
SULT1A3,19.0,38.0,19.0,24.0,25.0,128.0
SUPT5H,12.0,10.0,29.0,24.0,70.0,150.0
SUPV3L1,51.0,13.0,26.0,37.0,47.0,159.0
SURF6,29.0,16.0,50.0,89.0,23.0,206.0
TAF5L,15.0,8.0,25.0,17.0,94.0,153.0
TAL2,28.0,54.0,27.0,29.0,18.0,147.0
TANGO6,32.0,21.0,66.0,48.0,36.0,211.0
TBL2,35.0,40.0,18.0,26.0,25.0,142.0
TBL3,39.0,16.0,46.0,83.0,28.0,210.0
TBX19,34.0,23.0,30.0,22.0,57.0,171.0
TCP1,37.0,14.0,58.0,26.0,19.0,162.0
TEAD1,24.0,15.0,26.0,42.0,56.0,165.0
TERF2,43.0,21.0,22.0,84.0,20.0,188.0
TFB1M,17.0,12.0,36.0,21.0,50.0,137.0
TGDS,16.0,19.0,20.0,34.0,50.0,146.0
TGFBR2,36.0,14.0,18.0,13.0,64.0,147.0
TGIF1,31.0,16.0,44.0,47.0,68.0,199.0
THAP12,69.0,20.0,30.0,38.0,24.0,182.0
THAP8,29.0,16.0,78.0,45.0,38.0,202.0
TIMELESS,40.0,40.0,30.0,43.0,16.0,188.0
TIMM23B,19.0,11.0,48.0,24.0,60.0,159.0
TJP2,32.0,18.0,36.0,88.0,20.0,210.0
TLE1,27.0,12.0,22.0,36.0,51.0,151.0
TLE3,32.0,12.0,72.0,36.0,35.0,184.0
TM7SF3,72.0,32.0,32.0,31.0,18.0,185.0
TMCC2,34.0,44.0,25.0,32.0,32.0,164.0
TMEM178A,28.0,21.0,19.0,25.0,93.0,186.0
TMEM185B,25.0,12.0,31.0,23.0,76.0,175.0
TMEM255A,19.0,11.0,25.0,30.0,50.0,154.0
TMEM255B,35.0,13.0,62.0,21.0,16.0,149.0
TMEM258,23.0,20.0,112.0,27.0,19.0,209.0
TMSB10,37.0,17.0,44.0,82.0,23.0,197.0
TMTC3,45.0,59.0,22.0,39.0,29.0,188.0
TNPO3,18.0,13.0,24.0,25.0,57.0,142.0
TOMM20,81.0,14.0,21.0,21.0,24.0,166.0
TOMM6,20.0,17.0,25.0,31.0,58.0,151.0
TP53TG3D,22.0,18.0,36.0,86.0,22.0,190.0
TRAF3,25.0,29.0,58.0,40.0,17.0,160.0
TRIM37,16.0,11.0,60.0,30.0,22.0,134.0
TRIM48,37.0,19.0,39.0,87.0,20.0,204.0
TRIM50,27.0,17.0,81.0,16.0,21.0,156.0
TRIM55,21.0,17.0,72.0,38.0,30.0,174.0
TRIM56,22.0,12.0,25.0,22.0,57.0,143.0
TRNAU1AP,50.0,33.0,46.0,29.0,25.0,184.0
TSHZ1,30.0,23.0,65.0,26.0,16.0,157.0
TTC1,51.0,27.0,31.0,29.0,16.0,160.0
TTF1,22.0,17.0,23.0,85.0,19.0,171.0
TTN,59.0,42.0,36.0,18.0,15.0,173.0
TUBA1B,52.0,30.0,29.0,65.0,17.0,198.0
TWISTNB,22.0,29.0,24.0,28.0,62.0,170.0
UBA3,32.0,11.0,48.0,35.0,60.0,180.0
UNC119,19.0,14.0,71.0,47.0,45.0,200.0
UNC13D,18.0,15.0,17.0,83.0,11.0,143.0
URB1,24.0,25.0,31.0,82.0,21.0,190.0
USB1,21.0,15.0,30.0,29.0,54.0,157.0
USF2,22.0,16.0,19.0,42.0,63.0,174.0
USP17L30,23.0,12.0,68.0,47.0,46.0,203.0
USP21,27.0,15.0,27.0,34.0,78.0,190.0
USP25,22.0,15.0,36.0,95.0,16.0,187.0
USP8,26.0,16.0,80.0,24.0,20.0,166.0
UTP14A,31.0,18.0,28.0,32.0,53.0,169.0
UTP3,33.0,17.0,41.0,91.0,21.0,200.0
VAMP7,69.0,35.0,41.0,38.0,29.0,211.0
VARS,17.0,14.0,27.0,41.0,54.0,161.0
VARS2,74.0,71.0,24.0,23.0,18.0,201.0
VOPP1,33.0,13.0,42.0,57.0,56.0,208.0
VPS13D,34.0,19.0,26.0,27.0,56.0,160.0
VPS18,40.0,12.0,97.0,34.0,13.0,187.0
VPS33A,50.0,38.0,21.0,57.0,19.0,191.0
VPS51,16.0,12.0,65.0,48.0,13.0,157.0
WASF2,32.0,12.0,45.0,36.0,51.0,185.0
WDR1,13.0,9.0,26.0,38.0,118.0,213.0
WDR18,39.0,41.0,43.0,65.0,15.0,210.0
WDR25,30.0,14.0,43.0,25.0,64.0,177.0
WDR46,28.0,16.0,29.0,96.0,19.0,202.0
WDR7,16.0,16.0,68.0,29.0,23.0,153.0
WDR70,23.0,12.0,29.0,47.0,53.0,176.0
WDR73,59.0,29.0,24.0,52.0,17.0,179.0
XPOT,26.0,20.0,33.0,94.0,25.0,210.0
YAP1,29.0,55.0,16.0,13.0,14.0,137.0
YBX1,32.0,12.0,28.0,15.0,54.0,152.0
ZBED4,51.0,26.0,20.0,26.0,22.0,150.0
ZC3HAV1L,23.0,11.0,26.0,31.0,59.0,161.0
ZCCHC23,50.0,35.0,23.0,21.0,12.0,140.0
ZDHHC12,33.0,11.0,58.0,31.0,57.0,185.0
ZDHHC16,12.0,8.0,15.0,88.0,12.0,138.0
ZFP14,25.0,20.0,60.0,43.0,14.0,165.0
ZG16B,20.0,26.0,32.0,79.0,12.0,175.0
ZKSCAN3,10.0,17.0,14.0,16.0,76.0,136.0
ZMYM4,27.0,39.0,28.0,21.0,13.0,130.0
ZMYND19,36.0,59.0,24.0,15.0,23.0,156.0
ZNF174,51.0,23.0,25.0,37.0,12.0,163.0
ZNF175,21.0,10.0,19.0,19.0,52.0,130.0
ZNF207,23.0,24.0,50.0,83.0,32.0,213.0
ZNF219,58.0,25.0,10.0,15.0,17.0,132.0
ZNF490,52.0,48.0,38.0,25.0,31.0,201.0
ZNF584,16.0,14.0,76.0,32.0,22.0,156.0
ZNF746,29.0,48.0,18.0,16.0,16.0,128.0
ZNF786,54.0,27.0,16.0,53.0,28.0,183.0
ZNF79,17.0,21.0,63.0,22.0,21.0,141.0
ZNF793,21.0,11.0,18.0,22.0,49.0,121.0
ZNF827,50.0,28.0,19.0,29.0,21.0,145.0
ZSCAN2,24.0,25.0,23.0,100.0,12.0,190.0
ZXDA,11.0,13.0,26.0,19.0,50.0,122.0
